100
2
10
9.85026 7.51915
1.61039 8.65993
8.96108 6.51303
9.1236 8.74113
7.14712 5.17903
3.42409 4.10667
9.76976 1.89935
8.39876 8.61337
5.0644 9.01392
0.33323 8.04491
7.46727 3.19839
0.36387 1.73613
9.73577 9.90182
9.14148 9.81307
2.00742 9.063
9.05538 5.44361
4.9966 6.00828
4.0637 2.22955
7.28681 2.77738
9.24673 2.76371
3.46895 9.40092
6.24274 2.04612
0.26492 2.96379
1.32683 0.6319
5.57849 9.14395
1.07806 2.15582
8.39015 4.28903
7.64773 3.16586
9.59059 1.79396
7.0073 5.47158
8.71323 4.78603
9.31098 4.81616
8.66692 7.50796
3.38957 2.23547
7.12507 5.99312
4.45717 1.35783
6.81201 3.19737
3.41502 2.68233
9.18438 9.76886
7.69926 6.1402
9.85543 4.69706
0.08275 0.76407
2.91581 1.4982
8.58834 5.67224
9.07079 4.0539
4.74106 6.83132
3.36863 2.36706
8.54427 2.57661
0.22456 9.81051
6.29691 1.66163
6.61579 9.43719
2.8277 4.84388
7.46119 1.33797
0.03903 9.13273
4.65211 6.66761
3.14564 7.13441
3.58359 2.6675
0.45092 5.70979
0.03431 0.83503
8.15494 1.47918
5.47937 4.25933
9.17584 2.69215
3.4338 0.23454
6.84489 3.61005
9.95587 7.05205
7.99549 2.58427
5.27828 1.44665
9.90654 2.08377
6.23818 5.76142
1.74096 7.29222
3.08888 8.85358
7.95729 2.54069
3.47344 5.45095
7.55061 9.45838
8.51996 0.33514
9.88056 9.79052
1.19412 5.17872
7.85559 2.87429
3.60209 2.56507
6.88053 5.25091
0.35805 0.80813
4.83251 7.15197
3.03106 7.41527
0.27523 5.92388
7.84699 6.40708
5.74004 4.67647
4.27269 0.36252
5.75337 4.77924
5.49042 9.51281
2.87812 2.19566
4.53864 9.60909
0.55427 1.32665
5.47206 3.31373
8.38084 4.18703
8.45648 0.39857
5.93903 1.19434
4.62161 0.61037
9.83578 5.88408
8.96694 4.67499
0.20392 2.29875
0.29962 6.66634 28 0.74286
2.78463 2.05537 10 0.16859
5.30606 5.28298 42 0.67368
2.45953 7.87507 31 0.73353
6.30505 7.18214 78 1.42229
8.31631 4.838 88 0.40031
5.76056 5.31665 42 0.53746
5.48161 5.0399 42 0.37656
0.77044 9.52907 34 0.61416
7.10465 4.71924 80 0.46175
